binding_residue_fraction,contact_density,contacted_dna_chain_count,identifier,interface_aromatic_residue_fraction,interface_aspect_ratio,interface_hydrophobic_residue_fraction,interface_negative_residue_fraction,interface_polar_residue_fraction,interface_positive_residue_fraction,interface_radius_normalized,interface_region_count,largest_interface_region_fraction
0.03418803418803419,0.018848384424192212,2,10EH_C,0.05,3.954298792768211,0.3,0.0,0.25,0.45,8.872380328022668,8,0.35
0.013302034428794992,0.004508566275924256,2,10MI_D,0.058823529411764705,1.1639257775250096,0.23529411764705882,0.058823529411764705,0.17647058823529413,0.5882352941176471,9.327271408422567,12,0.17647058823529413
0.2268041237113402,0.09625,3,10YE_A,0.09090909090909091,2.681793336726385,0.3181818181818182,0.0,0.18181818181818182,0.4090909090909091,6.585526860615123,4,0.4090909090909091
0.1375,0.06708268330733229,2,10YE_B,0.0,4.797847772671541,0.09090909090909091,0.0,0.2727272727272727,0.45454545454545453,7.893752988747611,2,0.7272727272727273
0.12962962962962962,0.07211538461538461,2,10YE_C,0.0,1.8609293654235892,0.21428571428571427,0.0,0.07142857142857142,0.6428571428571429,7.526811004571843,5,0.2857142857142857
0.12903225806451613,0.05241379310344828,2,10YE_D,0.16666666666666666,1.9886954619518482,0.25,0.0,0.5833333333333334,0.25,7.438873522619647,4,0.3333333333333333
0.0673076923076923,0.033112582781456956,3,10YE_L,0.07142857142857142,1.4688295220425216,0.21428571428571427,0.07142857142857142,0.21428571428571427,0.35714285714285715,4.641616820574899,3,0.8571428571428571
0.14018691588785046,0.060753341433778855,2,10YH_C,0.0,1.437851960341433,0.2,0.0,0.13333333333333333,0.6,6.307515728895633,4,0.4666666666666667
0.026262626262626262,0.009547738693467337,1,11HU_A,0.07692307692307693,1.501809917701116,0.23076923076923078,0.07692307692307693,0.23076923076923078,0.46153846153846156,7.018435036697873,6,0.3076923076923077
0.04516129032258064,0.024118362383461694,1,11LB_A,0.07142857142857142,1.3924132000049447,0.32142857142857145,0.10714285714285714,0.25,0.17857142857142858,3.665597093036785,4,0.7857142857142857
0.18543046357615894,0.09438009438009438,2,11QF_B,0.05357142857142857,2.6090769451421827,0.19642857142857142,0.08928571428571429,0.3392857142857143,0.32142857142857145,5.357730694159137,5,0.875
