4PXI_B	4PXI_B	1.000	4.679E-30	1.000E+00	1.000E+00	1.000	1.000
4PXI_B	1JT0_A	1.000	8.896E-05	6.428E-01	6.882E-01	0.887	0.989
4PXI_B	6C31_A	1.000	2.034E-05	5.318E-01	5.503E-01	0.907	0.974
4PXI_B	8SVD_E	1.000	3.373E-04	6.385E-01	6.577E-01	0.843	0.944
4PXI_B	8SUK_D	1.000	5.176E-04	6.653E-01	6.805E-01	0.966	0.945
4PXI_B	6GY3_A	1.000	1.905E-04	5.886E-01	5.932E-01	0.956	0.990
4PXI_B	4L62_A	1.000	7.574E-04	6.097E-01	6.471E-01	0.892	0.989
4PXI_B	5DY0_A	1.000	8.331E-04	4.954E-01	4.649E-01	0.716	0.677
4PXI_B	6YL2_A	1.000	4.706E-04	5.616E-01	5.890E-01	0.966	0.979
6CCG_A	6CCG_A	1.000	5.085E-16	1.000E+00	1.000E+00	1.000	1.000
6CCG_A	7MWM_A	1.000	4.706E-11	9.028E-01	8.794E-01	0.944	0.919
6CCG_A	7RAY_A	1.000	7.869E-11	8.907E-01	8.679E-01	0.944	0.919
6CCG_A	2KY8_A	1.000	5.825E-09	7.960E-01	8.157E-01	0.917	0.943
6CCG_A	1IG4_A	1.000	4.085E-06	7.689E-01	7.426E-01	0.944	0.907
6CCG_A	4LG7_A	1.000	5.691E-05	5.926E-01	6.680E-01	0.750	0.921
6CCG_A	3VXV_A	1.000	4.693E-05	5.636E-01	6.182E-01	0.750	0.892
6CCG_A	2MOE_A	1.000	3.910E-04	5.345E-01	5.408E-01	0.917	0.915
6JXD_C	6JXD_C	1.000	1.635E-18	1.000E+00	1.000E+00	1.000	1.000
6JXD_C	9F0O_C	1.000	3.174E-17	9.909E-01	9.641E-01	1.000	0.973
6JXD_C	9ECP_C	1.000	3.174E-17	9.894E-01	9.714E-01	1.000	0.982
6JXD_C	6KE9_G	1.000	3.792E-17	9.700E-01	9.883E-01	0.981	1.000
6JXD_C	6JMA_C	1.000	4.270E-17	9.741E-01	9.741E-01	0.981	0.981
6JXD_C	6JXD_G	1.000	5.744E-17	9.861E-01	9.953E-01	0.991	1.000
6JXD_C	8VG2_G	1.000	7.282E-17	9.899E-01	8.763E-01	1.000	0.884
6JXD_C	1EQZ_E	1.000	1.039E-16	9.885E-01	8.341E-01	1.000	0.843
6JXD_C	6IPU_C	1.000	1.398E-16	9.848E-01	9.848E-01	0.991	0.991
6JXD_C	10YE_C	1.000	1.242E-16	9.908E-01	9.817E-01	1.000	0.991
6JXD_C	8VMJ_K	1.000	7.282E-17	9.843E-01	9.753E-01	1.000	0.991
6JXD_C	5MLU_G	1.000	1.398E-16	9.712E-01	9.896E-01	0.981	1.000
6JXD_C	9D3P_C	1.000	1.773E-16	9.905E-01	9.905E-01	1.000	1.000
6JXD_C	8UBI_C	1.000	1.671E-16	9.881E-01	9.701E-01	1.000	0.982
6JXD_C	9L1X_C	1.000	1.996E-16	9.832E-01	9.742E-01	1.000	0.991
6JXD_C	7XCR_C	1.000	2.685E-16	9.866E-01	9.776E-01	1.000	0.991
6JXD_C	10YH_C	1.000	2.849E-16	9.797E-01	9.797E-01	0.991	0.991
6JXD_C	6IQ4_C	1.000	4.067E-16	9.764E-01	9.856E-01	0.981	0.991
6JXD_C	8UPF_G	1.000	1.996E-16	9.676E-01	9.415E-01	0.991	0.964
6JXD_C	8X7I_C	1.000	4.579E-16	9.873E-01	9.521E-01	1.000	0.964
6JXD_C	4Z66_C	1.000	6.160E-16	9.726E-01	9.726E-01	0.981	0.981
6JXD_C	1AOI_C	1.000	8.287E-16	9.870E-01	9.190E-01	1.000	0.930
6JXD_C	8OF4_C	1.000	8.794E-16	9.754E-01	8.710E-01	0.991	0.883
6JXD_C	9LJ2_C	1.000	7.360E-16	9.809E-01	9.809E-01	1.000	1.000
6JXD_C	8X7J_C	1.000	8.287E-16	9.815E-01	9.726E-01	1.000	0.991
6JXD_C	8OTT_C	1.000	4.859E-16	9.487E-01	9.315E-01	0.981	0.963
6JXD_C	8SMX_G	1.000	6.160E-16	9.628E-01	9.455E-01	0.991	0.972
6JXD_C	9D3L_C	1.000	1.183E-15	9.614E-01	9.889E-01	0.972	1.000
6JXD_C	9D3O_C	1.000	7.360E-16	9.700E-01	9.524E-01	1.000	0.982
6JXD_C	9GFM_S	1.000	6.936E-16	9.738E-01	9.394E-01	1.000	0.964
6JXD_C	9ZEN_C	1.000	7.810E-16	9.841E-01	9.492E-01	1.000	0.964
